file,genre,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
16.wav,pop,0.4283204972743988,0.4497471153736114,0.5473080277442932,0.5878274440765381,0.5223448872566223,0.5504177212715149,0.3981127738952636,0.4329508543014526,0.45726278424263,0.369843065738678,0.3250194787979126,0.3474429845809936,-238.8751678466797,127.27025604248048,-37.97389221191406,51.89480972290039,-13.782609939575195,14.940675735473633,-16.57525062561035,0.7928114533424377,0.0327347666025161,-12.76085090637207,9.79005527496338,-1.8895304203033447,-6.515140056610107
17.wav,pop,0.5471160411834717,0.3818798363208771,0.3686733543872833,0.3901504278182983,0.5275225043296814,0.5253854990005493,0.4488950073719024,0.4474047124385834,0.4382931888103485,0.5288533568382263,0.5222867727279663,0.5385721325874329,-247.1786346435547,184.70950317382807,37.14341354370117,25.35390853881836,3.418922185897827,25.504552841186523,-4.363900661468506,1.813783049583435,-3.144078016281128,-0.7258647680282593,-2.024073839187622,-2.138152837753296,-5.823263168334961
15.wav,pop,0.6062555313110352,0.5214902758598328,0.5146049857139587,0.5388562083244324,0.5325037240982056,0.6022159457206726,0.4226526916027069,0.3935939967632293,0.3688939213752746,0.431175947189331,0.3881516456604004,0.4369847178459167,-188.47991943359372,175.90480041503906,-9.14249324798584,36.22831344604492,-1.502333641052246,27.162134170532227,-3.666517496109009,8.788808822631836,-0.5511083602905273,0.9764409065246582,-5.820590972900391,5.624062061309815,2.4721148014068604
29.wav,pop,0.3514741063117981,0.3121398985385895,0.4498779773712158,0.3878830671310425,0.3101525008678436,0.3156532049179077,0.2636325061321258,0.4115262329578399,0.3689564168453216,0.2917458415031433,0.2613468766212463,0.3081079125404358,-223.92176818847656,187.35585021972656,-25.039817810058597,28.438974380493164,2.540235757827759,11.246341705322266,-3.0780909061431885,-3.745533227920532,-0.5257757306098938,-9.249115943908691,-5.967730045318604,4.406122207641602,4.482329845428467
100.wav,pop,0.5576605200767517,0.4074510037899017,0.3481497168540954,0.2935646772384643,0.3473254740238189,0.335855096578598,0.370746910572052,0.4871079623699188,0.4438019096851349,0.4631511569023132,0.4622688293457031,0.5228960514068604,-172.4909210205078,166.0281982421875,-36.30755615234375,54.785789489746094,7.260797023773193,18.80227851867676,-18.430723190307617,5.23949146270752,0.6828403472900391,-6.220733642578125,3.2442188262939453,-10.503512382507324,-3.594035625457764
28.wav,pop,0.5078974962234497,0.3343603312969208,0.3732349574565887,0.4237965941429138,0.3678251802921295,0.3420674502849579,0.3451107442378998,0.5673254728317261,0.584191083908081,0.4411681592464447,0.370825707912445,0.3694525063037872,-235.4122772216797,153.77931213378906,-17.64138412475586,24.799285888671875,0.2794925272464752,10.178252220153809,-7.308819770812988,5.535826683044434,-3.533503293991089,-5.252853393554688,-4.033981323242188,-0.411330908536911,-1.0410090684890747
14.wav,pop,0.3795134723186493,0.2749434411525726,0.3409235775470733,0.5181711912155151,0.6072219610214233,0.465616911649704,0.3278615176677704,0.2821221053600311,0.3561269044876098,0.3806014060974121,0.444959282875061,0.5124348402023315,-231.8604431152344,170.10203552246094,21.578001022338867,32.51295852661133,4.515195846557617,31.55926322937012,-11.03976345062256,9.068225860595703,0.0913730412721633,2.3088066577911377,-4.139175891876221,-0.1355436295270919,-9.242937088012695
38.wav,pop,0.3121578097343445,0.4176201820373535,0.4505765736103058,0.4300203621387481,0.5863553285598755,0.4048590064048767,0.3265200853347778,0.3208878934383392,0.4005633890628814,0.6372900605201721,0.4723113179206848,0.3920744657516479,-164.681396484375,173.43675231933594,-18.966567993164062,43.24700164794922,-13.787580490112305,12.419697761535645,-12.8690185546875,9.519549369812012,-15.358922004699709,0.1128769367933273,-5.639237880706787,-0.7580312490463257,-5.907682418823242
10.wav,pop,0.336156278848648,0.4516386687755584,0.3733663856983185,0.3711501657962799,0.3379685878753662,0.4791022539138794,0.3675764501094818,0.3150118589401245,0.3523733913898468,0.2776590287685394,0.2708176672458648,0.2583300173282623,-200.66616821289065,186.0851593017578,10.936894416809082,6.681351661682129,-2.294553279876709,19.241233825683597,-10.592676162719728,9.135918617248535,-15.383275985717772,-4.339084148406982,0.1861244440078735,-2.6526620388031006,-1.9919723272323608
11.wav,pop,0.5018292665481567,0.4613409042358398,0.5561655163764954,0.6144249439239502,0.6678922176361084,0.6400730609893799,0.6318231225013733,0.7064758539199829,0.6596475839614868,0.5910537242889404,0.500627875328064,0.5145529508590698,-217.62081909179688,123.14049530029295,-16.90761947631836,44.94382095336914,-0.8659269213676453,22.9278621673584,8.154863357543945,14.348016738891602,1.5148221254348757,7.71829891204834,3.945080518722534,5.243449687957764,0.225344106554985
